Locality,Latitude, Longitude,Clade,Locality2
"Clermont, Qld ",-22.82814897,147.6347381,Clade 1,Clermont
"Biloela, Qld ",-24.40229774,150.5122958,Clade 1,Biloela 
"Malanda, Qld ",-17.35308394,145.5960959,Clade 1,Malanda 
"Charters Towers, Qld ",-20.07588239,146.259767,Clade 1,Charters Towers 
"Narromine, NSW ",-32.22961006,148.239978,Clade 1,Narromine 
"Nyngan, NSW ",-31.55473753,147.1894635,Clade 1,
"200 km S Tibooburra, NSW             ",-31.24402129,142.1790255,Clade 1,
"Mootwingee NP, NSW                ",-31.07327418,142.4623738,Clade 1,
"Bangalow, NSW                           ",-28.68566267,153.5211906,Clade 1,Bangalow                  
"Coopers Shoot, NSW ",-28.69037498,153.5714473,Clade 1,
"Alstonville, NSW ",-28.84198048,153.4403546,Clade 1,
"North Ballina, NSW ",-28.81577373,153.5685533,Clade 1,
"Mullumbimby Creek, NSW ",-28.55070001,153.44371,Clade 1,
"Goonengerry, NSW ",-28.60609855,153.4373799,Clade 1,
"Renmark, SA ",-34.1755222,140.7451368,Clade 1,
"Innamincka, SA ",-27.74718306,140.7382172,Clade 1,
"Werta Wert, SA ",-33.94347642,140.8648927,Clade 1,
"Brunette Downs Stn., NT ",-18.63906252,135.9470616,Clade 1,Brunette Downs Stn. 
"Goyder Lagoon, SA ",-26.73300319,139.218209,Clade 1,Goyder Lagoon
"Bedourie to Boulia, Qld ",-23.33194265,139.8171165,Clade 1,
"Alice Springs, NT ",-23.69782055,133.8806448,Clade 1,Alice Springs
"Melbourne, Vic ",-37.81349691,144.9630499,Clade 2,Melbourne 
"Mandurama, NSW               ",-33.65062558,149.0723269,Clade 2,Mandurama          
Glen Innes                         ,-29.74042801,151.7366832,Clade 2,Glen Innes                         
"Griffith, NSW                                     ",-34.28895063,146.0317316,Clade 2,"Griffith, NSW                                     "
"Bendemeer Stn., NSW ",-30.94096141,151.2007769,Clade 2,
"Nora Creina Bay, SA ",-37.32626018,139.8500003,Clade 2,
"Port Germein, SA ",-33.01940516,137.9990591,Clade 2,
"Richman Valley, SA ",-32.42044113,138.0290939,Clade 2,Richman Valley 
"Wemen, Vic ",-34.79899162,142.6678354,Clade 2,Wemen
"Tailem Bend, SA ",-35.25352576,139.4569411,Clade 2,Tailem Bend
"Burra, SA ",-33.68169041,138.9382905,Clade 2,
"Minlaton, SA ",-34.77147273,137.5985193,Clade 2,
"Buddigower NR, NSW  ",-34.01912762,147.0870788,Clade 2,
"Hackham, SA ",-35.14672976,138.5337258,Clade 2,
"Scotts Head, NSW ",-30.74787961,152.9944983,Clade 2,Scotts Head
